figure	canonical_path	report_path	notebook	notebook_section	producer	source_artifacts	sha256
representative_graphs.png	outputs/figures/pfam_large_panel_report/representative_graphs.png	report/figures/representative_graphs.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	data/processed/pfam_large_panel/resampling/collection_membership.tsv; outputs/tables/pfam_large_panel_scores/paired_scores.tsv; outputs/tables/pfam_large_panel_graph_recovery_full/graph_recovery_results.tsv	4482b7cb006f555bab584c6970f2a1a947ddba53ddc473930352b3bb996b29df
score_method_comparison.png	outputs/figures/pfam_large_panel_report/score_method_comparison.png	report/figures/score_method_comparison.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_scores/paired_scores.tsv; outputs/tables/pfam_large_panel_scores/spearman_correlations.tsv	7a8ca4ab91f4a0efd6193e39c1a9a62167032b30b96b511867a06e9f4e348186
percentile_density_mismatch.png	outputs/figures/pfam_large_panel_report/percentile_density_mismatch.png	report/figures/percentile_density_mismatch.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/rule_summary.tsv	9ee982a0018ba0fdb44979a01b86137a7879bc9682feb1c3a82c022f8a6b9c52
rule_topology.png	outputs/figures/pfam_large_panel_report/rule_topology.png	report/figures/rule_topology.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/factor_summary.tsv	b2fb53ef60a85391efed5aafa3100ab1d602004b897b31145cae152465bd3895
rule_nmi_frequency.png	outputs/figures/pfam_large_panel_report/rule_nmi_frequency.png	report/figures/rule_nmi_frequency.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_recovery_full/graph_recovery_results.tsv; outputs/tables/pfam_large_panel_graph_recovery_matched_density/graph_recovery_results.tsv	7725df4785ab2aabd2b7a4bea49a9f00e2cd08a9a626e46daf6fec1c81b9541d
rule_ami_frequency.png	outputs/figures/pfam_large_panel_report/rule_ami_frequency.png	report/figures/rule_ami_frequency.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_recovery_full/graph_recovery_results.tsv; outputs/tables/pfam_large_panel_graph_recovery_matched_density/graph_recovery_results.tsv	072b466662a954841bc434d47d3021bd2187c13828992fcd867e366e7afa997d
metric_comparison.png	outputs/figures/pfam_large_panel_report/metric_comparison.png	report/figures/metric_comparison.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/factor_summary.tsv	c2559f9cc512ca2e17bbaed0af22718875c3e0d13354ac4d3af8c226e37a96a4
rule_recovery.png	outputs/figures/pfam_large_panel_report/rule_recovery.png	report/figures/rule_recovery.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/rule_summary.tsv	6d492c7e3469f0d04caaddfd435bd1cf4a4645fd0fd4aa474e590720eb7f7939
matched_density_differences.png	outputs/figures/pfam_large_panel_report/matched_density_differences.png	report/figures/matched_density_differences.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/paired_method_differences.tsv	425d47b4e23323ccaf3177aafd67680632fa647afe814ebda1b66fb7e42b16fc
composition_recovery.png	outputs/figures/pfam_large_panel_report/composition_recovery.png	report/figures/composition_recovery.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/factor_summary.tsv	88b4bcad8aa22be10ea6930577d8d5d3ec2ccc5819e3f24b425b304c8637ad2d
composition_topology.png	outputs/figures/pfam_large_panel_report/composition_topology.png	report/figures/composition_topology.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_summary/factor_summary.tsv	023f88fbc587e884d4d864959c14c3bdd5d77b1c5f848ea2d90f1dae8fd5ea28
sensitivity_checks.png	outputs/figures/pfam_large_panel_report/sensitivity_checks.png	report/figures/sensitivity_checks.png	notebooks/03_large_scale_graph_exploration.ipynb	B8: Generate report figures and load null control	scripts/build_report_assets.py	outputs/tables/pfam_large_panel_graph_recovery_full/graph_recovery_results.tsv; outputs/tables/pfam_large_panel_graph_recovery_matched_density/graph_recovery_results.tsv; outputs/tables/pfam_large_panel_score_permutation_null/graph_recovery_results.tsv; outputs/tables/pfam_large_panel_graph_recovery_unweighted_reference/graph_recovery_results.tsv	d3836b3f68a692b585c9be4b32c3f36728e1bc7d86bdd8f6331f5dbaf8908cfd
